Overall_NbS,Individual_NbS,Collaborative_NbS,CC_Attribution,Future_Yield_Risk,Event_Frequency,Community_Partnership,Peer_NbS,Income,Public_Funding,Private_Funding,Age,Gender_Male
1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2,1.0,0.0,6,1
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1.0,0.0,6,1
1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,5,1.0,0.0,7,1
1.0,1.0,0.0,1.0,1.0,2.0,0.0,,3,1.0,0.0,7,1
1.0,1.0,0.0,1.0,2.0,1.0,1.0,,3,1.0,0.0,5,1
1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4,1.0,0.0,7,0
0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2,1.0,0.0,4,0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1,0.0,0.0,6,1
1.0,1.0,0.0,,2.0,2.0,0.0,,4,1.0,1.0,3,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3,1.0,0.0,7,1
1.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,3,1.0,0.0,7,0
0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4,1.0,0.0,2,0
1.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,4,1.0,0.0,3,1
1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,6,1.0,0.0,5,1
0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,4,1.0,0.0,5,1
0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3,1.0,0.0,5,1
1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,4,1.0,0.0,6,1
0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4,0.0,0.0,5,1
1.0,1.0,0.0,1.0,2.0,3.0,0.0,,4,1.0,0.0,3,0
0.0,0.0,0.0,1.0,2.0,1.0,1.0,,3,1.0,1.0,6,1
1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2,1.0,0.0,3,0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4,1.0,0.0,3,1
1.0,1.0,0.0,2.0,2.0,4.0,1.0,,4,1.0,1.0,5,1
0.0,0.0,0.0,2.0,2.0,1.0,0.0,,3,1.0,0.0,7,1
1.0,1.0,0.0,,2.0,3.0,1.0,1.0,4,1.0,0.0,7,1
1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,6,1.0,0.0,4,0
1.0,1.0,0.0,2.0,2.0,2.0,1.0,,4,1.0,0.0,6,1
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5,1.0,1.0,7,1
1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1,0.0,0.0,5,0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4,1.0,0.0,5,1
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1.0,0.0,7,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,,4,1.0,0.0,6,1
1.0,1.0,1.0,,1.0,0.0,1.0,1.0,6,0.0,0.0,5,0
1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,4,1.0,0.0,6,1
0.0,0.0,0.0,1.0,2.0,0.0,0.0,,3,0.0,0.0,4,0
,,,,,,,,1,1.0,0.0,3,0
,,,,,,,,4,,,7,1
,,,,,,,,4,,,2,1
1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4,1.0,0.0,6,1
1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3,1.0,0.0,6,1
1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,3,1.0,1.0,3,1
0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3,0.0,0.0,5,0
,,,,,,,,2,,,6,0
,,,,,,,,5,,,4,1
,,,,1.0,0.0,,,2,1.0,0.0,6,0
,,,,,,,,3,,,6,1
1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5,1.0,0.0,3,0
,,,,,,,,4,,,6,0
1.0,1.0,0.0,1.0,1.0,3.0,0.0,,2,1.0,0.0,5,1
1.0,1.0,0.0,1.0,2.0,3.0,0.0,,3,1.0,0.0,3,1
0.0,0.0,0.0,1.0,2.0,2.0,0.0,,2,1.0,0.0,3,1
1.0,1.0,1.0,1.0,1.0,4.0,0.0,,3,1.0,0.0,4,1
1.0,1.0,0.0,2.0,2.0,3.0,1.0,,5,1.0,0.0,5,1
,,,,,,,,4,,,2,1
1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3,1.0,0.0,4,1
,,,,,,,,4,,,3,0
1.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,4,1.0,0.0,3,0
,,,,,,,,4,,,3,1
1.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,4,0.0,1.0,2,1
1.0,1.0,0.0,1.0,2.0,4.0,0.0,,4,0.0,1.0,3,0
0.0,0.0,0.0,2.0,2.0,0.0,0.0,,6,1.0,0.0,4,1
1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4,0.0,0.0,6,1
0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,4,1.0,0.0,5,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,5,0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,1.0,0.0,5,1
1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4,1.0,0.0,4,0
1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,3,0.0,0.0,4,0
1.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,3,1.0,0.0,2,1
0.0,0.0,0.0,2.0,2.0,3.0,0.0,,2,1.0,0.0,5,1
1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,5,1.0,0.0,4,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,7,1
1.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,2,0.0,1.0,4,1
,,,,,,,,4,,,5,0
,,,,,,,,4,1.0,0.0,4,0
0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1,1.0,0.0,6,1
1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2,1.0,0.0,2,0
,,,,,,,,2,,,2,0
1.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,2,0.0,1.0,2,0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,,3,1.0,1.0,3,0
1.0,1.0,1.0,,2.0,4.0,0.0,1.0,1,0.0,0.0,3,1
,,,,,,,,3,,,3,1
1.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,2,0.0,1.0,3,0
1.0,1.0,0.0,1.0,1.0,3.0,0.0,,3,1.0,0.0,3,1
1.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,3,0.0,1.0,4,1
0.0,0.0,0.0,2.0,0.0,2.0,0.0,,4,1.0,0.0,2,0
1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,3,0.0,0.0,5,0
,,,,,0.0,,,4,0.0,0.0,5,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,0.0,0.0,5,0
1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,3,1.0,1.0,3,0
1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4,1.0,0.0,4,1
0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,5,0.0,0.0,3,0
1.0,1.0,0.0,,1.0,3.0,1.0,1.0,6,1.0,0.0,6,1
1.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,3,1.0,0.0,3,0
,,,,,,,,3,0.0,0.0,4,0
,,,,,,,,3,,,6,0
1.0,1.0,0.0,1.0,2.0,3.0,0.0,,2,0.0,0.0,2,0
1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2,1.0,0.0,5,1
1.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,2,0.0,1.0,3,1
1.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,4,1.0,0.0,5,1
,,,,,,,,4,,,5,0
,,,,,,,,2,,,7,0
,,,,,,,,3,0.0,0.0,6,1
1.0,1.0,0.0,1.0,2.0,2.0,0.0,,2,1.0,0.0,3,1
,,,,,,,,4,,,2,1
1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,3,0.0,0.0,6,0
1.0,1.0,0.0,2.0,2.0,4.0,1.0,,4,1.0,0.0,3,1
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4,1.0,0.0,6,1
1.0,1.0,0.0,2.0,1.0,1.0,0.0,,2,0.0,0.0,3,0
1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4,1.0,0.0,4,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,1.0,0.0,6,1
1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,3,1.0,1.0,1,1
,,,,,,,,1,,,2,0
1.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,5,1.0,0.0,4,0
,,,,,,,,3,,,2,0
,,,,,,,,3,,,5,0
1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,3,1.0,1.0,6,0
,,,,,,,,1,,,5,1
,,,,,,,,3,,,3,0
,,,,,,,,4,0.0,0.0,2,0
1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,3,1.0,0.0,5,0
,,,,,,,,4,,,4,1
,,,,,,,,3,,,2,1
,,,,,,,,5,,,5,1
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,1.0,0.0,3,0
,,,,,,,,3,1.0,0.0,3,1
1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4,0.0,0.0,4,0
1.0,1.0,0.0,1.0,1.0,2.0,0.0,,3,1.0,0.0,5,0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,0.0,4,0
0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3,1.0,0.0,2,0
1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,4,0.0,0.0,5,1
,,,,,,,,3,,,3,0
1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4,1.0,0.0,5,0
0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2,0.0,0.0,3,1
0.0,0.0,0.0,2.0,1.0,2.0,0.0,,2,1.0,0.0,6,1
0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,3,1.0,0.0,5,0
1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5,1.0,0.0,5,1
1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3,1.0,0.0,3,0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3,1.0,0.0,6,1
,,,,,,,,4,1.0,1.0,3,0
,,,,,,,,4,,,4,0
,,,,,,,,2,,,3,1
,,,,,,,,1,,,2,1
1.0,1.0,0.0,1.0,2.0,3.0,0.0,,4,1.0,0.0,5,0
0.0,0.0,0.0,1.0,1.0,3.0,0.0,,2,0.0,0.0,1,0
0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2,1.0,0.0,3,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,4,1.0,0.0,3,1
1.0,1.0,0.0,2.0,2.0,3.0,1.0,,2,1.0,0.0,5,1
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1.0,0.0,5,0
,,,,,,,,5,,,4,0
1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1,0.0,0.0,3,0
1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3,1.0,0.0,6,1
0.0,0.0,0.0,2.0,2.0,3.0,0.0,,3,1.0,0.0,3,0
1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3,1.0,0.0,4,1
1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3,1.0,0.0,6,1
