StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Text / Graphic,q1.1,q1.2,q1.3,q1.3_3_TEXT,q1.4,q1.4_8_TEXT,q1.5,q1.6,q1.7,q1.7_9_TEXT,q1.8,q1.8_12_TEXT,q1.9,q1.10,q1.10_17_TEXT,q2.1,q2.1_6_TEXT,q2.1_8_TEXT,q2.1_10_TEXT,q2.2,q2.3,q2.4,q2.4_6_TEXT,q2.5_1,q2.5_2,q2.5_3,q2.5_4,q3.1,q3.1_1_TEXT,q3.2.1_1,q3.2.1_2,q3.2.1_3,q3.2.1_4,q3.2.2_1,q3.2.2_2,q4.1,q4.2,q4.2_9_TEXT,q4.3,q4.4,q4.5,q4.6.1_1,q4.6.1_2,q4.6.1_3,q4.6.1_4,q4.6.1_5,q4.6.1_6,q4.6.1_7,q4.6.2_1,q4.6.2_2,q4.6.2_3,q4.6.2_4,q4.6.2_5,q4.6.2_6,q4.7,q5.1_1,q5.1_2,q5.1_3,q5.1_4,q5.2,q5.2_11_TEXT,q5.3,q5.3_7_TEXT
05/06/2025 01:59,05/06/2025 02:12,IP Address,100,778,TRUE,05/06/2025 02:12,R_8DvVuF8MjDhWaHH,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,South West,>75 years old,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£20,000 to £50,000",5 to 20 ha.,Farming landowner ,,LFA grazing livestock,,> 60%,Country Stewardships (CS) ,,None,,,,,,Not at all caused by climate change,,To some extent,To some extent,To some extent,To some extent,No,,,,,,2 - Neither agree nor disagree,2 - Neither agree nor disagree,No,,,5-10%,Less than 1%,I don't know,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,Ther is no description of what the nature based solution may be,3 - Agree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty",,Landscape benefits don’t benefit my farm business,
05/06/2025 03:48,05/06/2025 03:56,IP Address,100,498,TRUE,05/06/2025 03:56,R_2KVHKuJpG1C41uF,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,East Anglia,>75 years old,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£20,000 to £50,000",20 to 50 ha.,Non-Farming landowner ,,"Cereals,Dairy,Lowland grazing livestock",,> 60%,"Country Stewardships (CS) ,Capital Items",,Drought ,,,,Once a year,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Grassland restoration,Hedgerows,Wildflower strips",,5-10%,1-5%,Yes,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,,,,,,,"improved soil, less reliance on chemicals, habitat creation alongside productive farming, more sustainable",2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Limited time,Policy uncertainty",,Funding for collaborative action,
05/06/2025 03:58,05/06/2025 04:17,IP Address,100,1104,TRUE,05/06/2025 04:17,R_8ir1WjyOPuGz6XI,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,East Anglia,25 to 34,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",100-250 ha.,Family member,,Cereals,,< 10%,Sustainable Farming Incentives (SFI),,"Drought ,Wildfire,Other:",,,Black grass,Once in the last five years,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,No,,,10-25%,1-5%,Yes,,,,,,,,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,Land is more resilient to drastic climatic changes e.g. floodplain meadow restoration in response to flood risk. Making land more resilient would therefore have a knock on effect that yield and productivity is not so much effected. As well as farm livelihoods and neighbours.,1- Disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Implementation costs,Data availability - unclear on the benefits,Land use conflicts with food production,Planning constraints,Other:","Facilitation funding being scrapped has meant that large scale organised NbS on a landscape scale has become tricky. There is not loads of enthusiasm throughout the sector to create a joined up approach, especially if the funds nor facilitation isn't there. If LR is unavailable or unsuccessful, private financing has to be explored which again creates another barrier. Particularly in terms of uncertainty with longterm agreements, the financial gain, and taking land out of production.","Funding for collaborative action,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
05/06/2025 04:13,05/06/2025 04:23,IP Address,100,574,TRUE,05/06/2025 04:23,R_8mLqW0SzFQSk9rm,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,35 to 44,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",>250 ha,Farming landowner ,,Cereals,,20% to 30%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Capital Items,Woodland Tree Health grant (WTH)",,"Flood ,Drought ",,,,More than once a year ,Severely affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",West Cambs 100,3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – In collaboration, at the landscape level","Grassland restoration,Hedgerows,Wildflower strips,Habitat creation",,10-25%,1-5%,Yes,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,2- Neither agree nor disagree,,,,,,,"improving water quality, pest control, soil quality, nature recovery",2- Neither agree nor disagree,1- Disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Land use conflicts with food production,Policy uncertainty",,"Funding for collaborative action,Unequal contribution of resources from landscape-level partners",
05/06/2025 05:40,05/06/2025 05:46,IP Address,100,314,TRUE,05/06/2025 05:46,R_2xS58rBKMt8oP4h,anonymous,EN,0.699999988,I have read and understood the information provided and I agree to take part in this research project,East Midlands,55 to 64,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"> £200,000",>250 ha,Farming landowner ,,Cereals,,> 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Countryside Stewardships Higher Tier (CSHT),Capital Items,Woodland Tree Health grant (WTH)",,"Drought ,Disease:,Pests:",,,,Once a year,Somewhat affected,Partly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","Forest creation,Grassland restoration,Wildflower strips,Habitat creation",,Greater than 25%,Greater than 25%,Yes,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,,,,,,,All of the above,1- Disagree,1- Disagree,3 - Agree,1- Disagree,"Implementation costs,Maintenance costs,Land use conflicts with food production,Policy uncertainty",,Funding for collaborative action,
05/06/2025 05:34,05/06/2025 06:01,IP Address,100,1657,TRUE,05/06/2025 06:01,R_2dZaeY5SUjqlU36,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",>250 ha,"Farming landowner ,Farm business tenancy (FBT)",,Cereals,,50% to 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Improving Farm Productivity grant",,Drought ,,,,Once every 2-3 years,Somewhat affected,Partly caused by climate change,,Very much,To some extent,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",Farmer Cluster,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,No,,,5-10%,5-10%,Yes,,,,,,,,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,1- Disagree,1- Disagree,3- Agree,"Improved soil and water health, possible price premiums",1- Disagree,1- Disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Policy uncertainty",,Funding for collaborative action,
05/06/2025 06:08,05/06/2025 06:19,IP Address,100,666,TRUE,05/06/2025 06:19,R_8PIibeoHZold0Jt,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Man,,"Further education – college course, diploma, trade training, etc.",,"£20,000 to £50,000",100-250 ha.,Farming landowner ,,Cereals,,< 10%,Country Stewardships (CS) ,,"Disease:,Pests:",some fields flooded,flea beetle,,Once a year,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,To some extent,To some extent,No,,,,,,2 - Neither agree nor disagree,1 - Disagree,No,,,5-10%,1-5%,No,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,soil quality a little,2- Neither agree nor disagree,1- Disagree,3 - Agree,2- Neither agree nor disagree,"Implementation costs,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tenancy constraints",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business",
05/06/2025 06:34,05/06/2025 06:48,IP Address,100,815,TRUE,05/06/2025 06:48,R_2wtsqY4kJXlFDt0,anonymous,EN,0.800000012,I have read and understood the information provided and I agree to take part in this research project,East Anglia,65 to 74,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",>250 ha,Farming landowner ,,"Cereals,Other:","Oil Reed Rape, Field Beans",20% to 30%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Countryside Stewardships Higher Tier (CSHT),Capital Items,Improving Farm Productivity grant",,"Drought ,Disease:,Pests:,Other:",,,Periodic heavy rainfall,Once a year,Severely affected,Mainly caused by climate change,,Very much,To some extent,Very much,To some extent,"Yes (If you wish, specify which kind of community partnership)",W Cambs 100s,3 - Agree,3 - Agree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm","Forest reforestation or restoration,Hedgerows,Wildflower strips,Habitat creation",,10-25%,10-25%,Yes,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,1- Disagree,3- Agree,3- Agree,,,,,,,"Improved soil quality, improved water quality, premium price on some contracts, enhanced wildlife including birds, mammals, insects etc",3 - Agree,1- Disagree,3 - Agree,3 - Agree,"Implementation costs,Maintenance costs,Skills/training,Limited time,Policy uncertainty",,Funding for collaborative action,
05/06/2025 06:48,05/06/2025 06:55,IP Address,100,433,TRUE,05/06/2025 06:55,R_2cVEP52G7YmU1vH,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Man,,"Further education – college course, diploma, trade training, etc.",,"£50,000 to £100,000",100-250 ha.,Non-Farming landowner ,,Cereals,,50% to 60%,No funding,,"Flood ,Pests:",,,,Once every 2-3 years,Somewhat affected,Not at all caused by climate change,,To some extent,No,To some extent,No,No,,,,,,2 - Neither agree nor disagree,1 - Disagree,No,,,Less than 1%,Less than 1%,Yes,,,,,,,,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,Don't know,2- Neither agree nor disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tenancy constraints",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business",
05/06/2025 04:19,05/06/2025 06:57,IP Address,100,9508,TRUE,05/06/2025 06:57,R_21dBa2uw9ZgJfcu,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",>250 ha,Farming landowner ,,"Cereals,Mixed",,50% to 60%,Country Stewardships (CS) ,,"Flood ,Drought ,Disease:,Pests:",Yellow rust,"Flea beetle, slugs",,Once a year,Somewhat affected,Partly caused by climate change,"When you look back through more recent history, they had ‘climate events’ too. The climate has changed significantly since the ice age and I’m dubious if that is all caused by humans.",To some extent,To some extent,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","River restoration,Grassland restoration,Mob grazing,Hedgerows,Habitat creation",,1-5%,Less than 1%,I don't know,2- Neither agree nor disagree,3- Agree,3- Agree,2- Neither agree nor disagree,3- Agree,1- Disagree,3- Agree,,,,,,,"Improved soil quality, improved water quality, more diverse and thriving ecosystems",2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Land use conflicts with food production",,"Funding for collaborative action,Relationship with neighbours,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
05/06/2025 07:15,05/06/2025 07:24,IP Address,100,551,TRUE,05/06/2025 07:24,R_80HnHwd5wAR3llO,qr,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,65 to 74,Man,,GCSE or A-levels,,"£20,000 to £50,000",100-250 ha.,Farming landowner ,,Cereals,,20% to 30%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Other private company",,Drought ,,,,Once in the last five years,Somewhat affected,Partly caused by climate change,,To some extent,To some extent,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",Farmer cluster,3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,No,,,5-10%,5-10%,I don't know,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,Improved soil and water quality.,2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Skills/training,Limited time,Policy uncertainty",,Funding for collaborative action,
05/06/2025 10:03,05/06/2025 10:12,IP Address,100,581,TRUE,05/06/2025 10:12,R_88HinwYUBKt5y3N,anonymous,EN,0.5,I have read and understood the information provided and I agree to take part in this research project,South West,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",5 to 20 ha.,Non-Farming landowner ,,Other:,Private nature reserve with temperate rainforest and species rich grassland,> 60%,"Sustainable Farming Incentives (SFI),Other:",Devon Wildlife Trust,Drought ,,,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,"Yes – Individually, on my farm","Forest reforestation or restoration,Wetland restoration,Grassland restoration,Hedgerows,Wildflower strips,Habitat creation",,Greater than 25%,Greater than 25%,No,1- Disagree,3- Agree,3- Agree,3- Agree,1- Disagree,3- Agree,3- Agree,,,,,,,It's the only solution if we want to live on an habitable planet now and for future generations.,3 - Agree,1- Disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Land use conflicts with food production,Policy uncertainty",,"Funding for collaborative action,Relationship with neighbours",
05/06/2025 15:51,05/06/2025 16:06,IP Address,100,893,TRUE,05/06/2025 16:06,R_8fUyBXtYb46t90G,anonymous,EN,0.5,I have read and understood the information provided and I agree to take part in this research project,Scotland,35 to 44,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",20 to 50 ha.,Farming landowner ,,LFA grazing livestock,,> 60%,"Capital Items,Improving Farm Productivity grant",,"Drought ,Pests:",,"Badgers, starlings",,More than once a year ,Somewhat affected,Not at all caused by climate change,,No,No,No,No,No,,,,,,2 - Neither agree nor disagree,2 - Neither agree nor disagree,No,,,1-5%,Less than 1%,No,,,,,,,,3- Agree,1- Disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,Sustainable long term farming,2- Neither agree nor disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Data availability - unclear on the benefits,Land use conflicts with food production",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business",
06/06/2025 01:43,06/06/2025 01:53,IP Address,100,642,TRUE,06/06/2025 01:53,R_8BqSJ080Dt2pmfw,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",>250 ha,Farming landowner ,,"Cereals,Cropping: Biofuels/seed oils",,< 10%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Capital Items,Private sector - Water company,Other private company",,"Flood ,Drought ,Wildfire,Disease:,Pests:",Septoria/yellow rust/brown rust/ ramularia,Aphids/CSFB/Gout Fly/slugs,,More than once a year ,Somewhat affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","Hedgerows,Wildflower strips",,5-10%,1-5%,I don't know,3- Agree,2- Neither agree nor disagree,1- Disagree,3- Agree,3- Agree,3- Agree,3- Agree,,,,,,,Maintaining environmental features ,2- Neither agree nor disagree,1- Disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tax constraints,Planning constraints,Tenancy constraints",,"Funding for collaborative action,Relationship with neighbours,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
06/06/2025 00:21,06/06/2025 01:53,IP Address,100,5528,TRUE,06/06/2025 01:53,R_8amfPDWkpsiUZm1,anonymous,EN,0.800000012,I have read and understood the information provided and I agree to take part in this research project,South West,>75 years old,Man,,"Further education – college course, diploma, trade training, etc.",,"£20,000 to £50,000",5 to 20 ha.,Farming landowner ,,Lowland grazing livestock,,10% to 20%,Sustainable Farming Incentives (SFI),,Drought ,,,,Once in the last five years,Somewhat affected,Mainly caused by climate change,,No,No,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,No,,,Greater than 25%,5-10%,I don't know,,,,,,,,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,Improved soil quality improved water quality increased wildlife ,3 - Agree,2- Neither agree nor disagree,3 - Agree,1- Disagree,"Maintenance costs,Land use conflicts with food production,Policy uncertainty",,Funding for collaborative action,
06/06/2025 02:42,06/06/2025 02:54,IP Address,100,718,TRUE,06/06/2025 02:54,R_2QNnmN7YMTevxct,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,East Anglia,>75 years old,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",100-250 ha.,Farming landowner ,,Cereals,,> 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ",,"Flood ,Disease:,Pests:",Fungal plant diseases,Aphids,,Once a year,Somewhat affected,"Not at all caused by climate change,Partly caused by climate change,Mainly caused by climate change",Flooding increased by climate change.  No obvious change in pests and diseases,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",,3 - Agree,2 - Neither agree nor disagree,2 - Neither agree nor disagree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm","Hedgerows,Other:",Legume fallow,10-25%,1-5%,Yes,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,,,,,,,Improved soil quality.  Natural pest control.,3 - Agree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty",,"Funding for collaborative action,Relationship with neighbours",
06/06/2025 04:12,06/06/2025 04:18,IP Address,100,377,TRUE,06/06/2025 04:18,R_2Ra1JinOR7zYL8S,anonymous,EN,0.699999988,I have read and understood the information provided and I agree to take part in this research project,East Anglia,45 to 54,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"> £200,000",50 to 100 ha.,Farming landowner ,,"Lowland grazing livestock,Other:",Tourism,> 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ",,"Flood ,Drought ",,,,More than once a year ,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",Farmer cluster,3 - Agree,3 - Agree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","Forest reforestation or restoration,Hedgerows,Wildflower strips,Habitat creation",,10-25%,10-25%,Yes,1- Disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,,,,,,,"Improved water & soil quality, improved biodiversity, better environment for our farm visitors",2- Neither agree nor disagree,1- Disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Data availability - unclear on the benefits,Policy uncertainty,Planning constraints",,Funding for collaborative action,
06/06/2025 05:14,06/06/2025 05:24,IP Address,100,590,TRUE,06/06/2025 05:24,R_8QKAfqal1NVob66,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,East Anglia,65 to 74,Man,,"Further education – college course, diploma, trade training, etc.",,"£50,000 to £100,000",>250 ha,Farming landowner ,,Cropping: Horticulture,,< 10%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ",,"Flood ,Drought ",,,,Once every 2-3 years,Severely affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",,2 - Neither agree nor disagree,2 - Neither agree nor disagree,2 - Neither agree nor disagree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm","River restoration,Hedgerows",,Less than 1%,Less than 1%,I don't know,3- Agree,1- Disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,,,,,,,"Soil improvements
Encouraging beneficial insects",3 - Agree,1- Disagree,1- Disagree,1- Disagree,Land use conflicts with food production,,Landscape benefits don’t benefit my farm business,
06/06/2025 10:02,06/06/2025 10:22,IP Address,100,1236,TRUE,06/06/2025 10:22,R_2ffoe94DbNoZSQw,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Anglia,>75 years old,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£100,000 to £200,000",>250 ha,Farming landowner ,,"Cereals,Lowland grazing livestock",,30% to 40%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Private sector - Water company",,"Disease:,Pests:","Extreme rain or dry, but not flooding as such",The usual,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,Weather patterns (jet stream) are changing and disrupting our usual patterns.,Very much,Very much,To some extent,To some extent,"Yes (If you wish, specify which kind of community partnership)",Farm Cluster group,3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","Wetland restoration,Grassland restoration,Hedgerows,Wildflower strips,Habitat creation,Other:",Other principles of regen farming - trying to get biology back into the soil.,10-25%,1-5%,Yes,1- Disagree,3- Agree,2- Neither agree nor disagree,3- Agree,1- Disagree,1- Disagree,2- Neither agree nor disagree,,,,,,,"I include looking after the soil (no inversion tillage, direct drilling, cover crops, adding biologically active compost) as nature based solutions in all my answers:
reduced costs, improved soil structure, better water retention, can get on wet land sooner, better water quality, reduced inputs, improved payment rates, maintaining gross margins.",1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Skills/training,Data availability - unclear on the benefits,Policy uncertainty,Other:",Hard to change 'old' mindsets ie 'we've always done it this way'.,"Funding for collaborative action,Landscape benefits don’t benefit my farm business,Other:","At the moment, the uncertainty of entering into long term contracts (30 years) when certain carbon reduction has been agreed, due to the difficulty of measuring carbon in the farming environment and the likelihood that such measurement methods will develop and provide changing results to those obtaining at the contract initiation."
07/06/2025 00:11,07/06/2025 00:18,IP Address,100,373,TRUE,07/06/2025 00:18,R_20vL2Uv2wmDG0Me,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,55 to 64,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"< £10,000",5 to 20 ha.,Non-Farming landowner ,,Other:,,> 60%,No funding,,None,,,,,,,n,No,No,No,No,No,,,,,,2 - Neither agree nor disagree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Grassland restoration,Hedgerows,Wildflower strips,Habitat creation",,Greater than 25%,Greater than 25%,Yes,3- Agree,2- Neither agree nor disagree,1- Disagree,3- Agree,3- Agree,1- Disagree,3- Agree,,,,,,,n,1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Implementation costs,Maintenance costs,Policy uncertainty,Tax constraints",,Unequal contribution of resources from landscape-level partners,
07/06/2025 04:45,07/06/2025 04:54,IP Address,100,537,TRUE,07/06/2025 04:54,R_8HjA5lxSkvg3Znl,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,55 to 64,Man,,"Further education – college course, diploma, trade training, etc.",,"£50,000 to £100,000",50 to 100 ha.,"Farming landowner ,Other:",Farming isn't my main source of income,Lowland grazing livestock,,> 60%,"Country Stewardships (CS) ,Capital Items",,Drought ,,,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,,To some extent,Very much,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,"Yes – Individually, on my farm","Grassland restoration,Agroforestry ,Hedgerows,Wildflower strips",,Greater than 25%,Greater than 25%,No,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,,,,,,,"soil, water, productivity, resilience, mental health",2- Neither agree nor disagree,1- Disagree,3 - Agree,2- Neither agree nor disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
07/06/2025 08:52,07/06/2025 09:05,IP Address,100,815,TRUE,07/06/2025 09:05,R_2PtdtztA8yIaaNP,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,>75 years old,Woman,,GCSE or A-levels,,"£20,000 to £50,000",20 to 50 ha.,Non-Farming landowner ,,Lowland grazing livestock,,> 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Farming in Protected Landscapes programme (FiPL)",,None,,,,,,Partly caused by climate change,,To some extent,To some extent,To some extent,To some extent,"Yes (If you wish, specify which kind of community partnership)",Farm Cluster,3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm","Forest reforestation or restoration,Wetland restoration,Mob grazing",,Greater than 25%,1-5%,Yes,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,1- Disagree,3- Agree,,,,,,,"Improved soil quality, stopping rainwater run off, increasing insect populations.",1- Disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Skills/training,Data availability - unclear on the benefits,Policy uncertainty",,Unequal contribution of resources from landscape-level partners,
